,bedrooms,bathrooms,squarefeet,total_taxes_assessed,yearbuilt,taxamount,county
38,3.0,2.0,1541.0,255000.0,2007.0,3951.7,Los_Angeles
39,4.0,2.0,1308.0,186233.0,1957.0,2476.65,Los_Angeles
40,3.0,3.0,1738.0,458000.0,1999.0,5155.04,Ventura
41,4.0,3.0,2754.0,557671.0,2001.0,6365.08,Ventura
42,3.0,2.0,1827.0,97506.0,1964.0,1327.17,Los_Angeles
43,3.0,2.5,1404.0,342037.0,1973.0,4306.0,Orange
44,2.0,1.0,866.0,34631.0,1954.0,730.24,Orange
45,2.0,1.0,825.0,346902.0,1948.0,4558.67,Los_Angeles
46,2.0,1.0,930.0,403446.0,1952.0,4851.27,Los_Angeles
47,3.0,2.0,1200.0,378787.0,1954.0,4597.96,Los_Angeles
48,4.0,2.0,2362.0,98331.0,1926.0,1456.69,Los_Angeles
49,3.0,2.0,1164.0,162000.0,1990.0,2871.49,Los_Angeles
50,4.0,1.0,1338.0,55546.0,1959.0,1008.11,Los_Angeles
51,3.0,2.0,1897.0,71397.0,1937.0,1067.79,Los_Angeles
52,3.0,2.0,1908.0,140689.0,2005.0,2332.79,Los_Angeles
53,3.0,2.5,1690.0,354023.0,1989.0,4024.46,Orange
54,3.0,2.0,1542.0,488653.0,1971.0,6192.89,Los_Angeles
55,6.0,4.0,3298.0,221977.0,1966.0,2845.71,Los_Angeles
56,3.0,2.0,1958.0,241000.0,2007.0,4756.03,Los_Angeles
57,4.0,2.5,1794.0,100458.0,1974.0,1350.46,Orange
58,5.0,3.5,3128.0,947000.0,1976.0,10753.6,Ventura
59,2.0,1.0,1006.0,55188.0,1918.0,1173.59,Los_Angeles
60,3.0,2.0,1059.0,329780.0,1962.0,4431.82,Orange
61,2.0,1.0,1207.0,55254.0,1939.0,741.96,Los_Angeles
62,4.0,2.5,2369.0,129615.0,1964.0,1663.94,Orange
63,3.0,3.0,2791.0,325376.0,1964.0,4115.77,Los_Angeles
64,5.0,2.5,2328.0,97551.0,1966.0,1331.06,Orange
65,3.0,3.5,3076.0,481476.0,1990.0,4508.94,Orange
66,2.0,2.0,1623.0,478726.0,1924.0,7034.02,Los_Angeles
67,3.0,1.0,947.0,407998.0,1947.0,4952.96,Los_Angeles
68,1.0,1.0,816.0,30599.0,1936.0,407.91,Los_Angeles
69,3.0,2.0,1272.0,72433.0,1964.0,1306.29,Los_Angeles
70,4.0,2.5,2161.0,330226.0,1977.0,3389.0,Orange
71,3.0,3.0,2496.0,741200.0,1959.0,9090.3,Los_Angeles
72,2.0,1.0,724.0,235118.0,1926.0,2819.39,Los_Angeles
73,3.0,2.0,1329.0,124876.0,1977.0,1319.88,Orange
74,4.0,3.0,1987.0,434811.0,1976.0,4497.78,Orange
75,2.0,1.0,720.0,406099.0,1948.0,5503.42,Los_Angeles
76,3.0,1.0,1008.0,192111.0,1947.0,2792.14,Los_Angeles
78,3.0,1.0,1072.0,374000.0,1950.0,4768.8,Los_Angeles
79,4.0,2.5,1686.0,189534.0,1962.0,2414.88,Ventura
80,3.0,2.0,1736.0,439400.0,1967.0,6102.04,Los_Angeles
81,3.0,3.0,2735.0,689574.0,1986.0,6925.88,Orange
82,3.0,2.0,1976.0,403193.0,1955.0,5099.43,Los_Angeles
83,2.0,1.0,749.0,153005.0,1950.0,2220.38,Los_Angeles
84,3.0,2.0,1470.0,399808.0,1942.0,4808.28,Los_Angeles
85,3.0,1.0,1120.0,67850.0,1923.0,844.37,Los_Angeles
86,3.0,2.0,1175.0,296847.0,1956.0,3576.24,Los_Angeles
88,4.0,3.0,1813.0,259061.0,1947.0,3174.9,Los_Angeles
89,2.0,1.0,775.0,253000.0,1946.0,3229.75,Los_Angeles
90,3.0,1.0,1108.0,380000.0,1951.0,4385.6,Los_Angeles
91,3.0,2.0,1601.0,971425.0,1935.0,11791.32,Los_Angeles
92,3.0,2.0,1285.0,451596.0,1956.0,5224.38,Orange
93,4.0,2.0,2404.0,216611.0,1911.0,2738.79,Los_Angeles
94,5.0,3.0,2305.0,251082.0,2007.0,3073.96,Orange
95,3.0,1.0,1102.0,324675.0,1958.0,3848.26,Los_Angeles
96,4.0,2.0,1320.0,54543.0,1959.0,1194.02,Los_Angeles
97,5.0,3.0,2694.0,337206.0,1962.0,4119.36,Orange
98,3.0,2.0,1830.0,538803.0,1927.0,6561.82,Los_Angeles
99,2.0,1.0,837.0,273690.0,1949.0,3399.86,Orange
100,3.0,2.0,1222.0,251828.0,1954.0,3296.45,Los_Angeles
101,2.0,1.0,929.0,254327.0,1950.0,3138.71,Los_Angeles
104,5.0,4.0,2748.0,347112.0,1984.0,4155.77,Los_Angeles
105,3.0,2.5,2374.0,571680.0,2003.0,6828.34,Orange
106,3.0,2.0,1159.0,372315.0,1954.0,4414.25,Los_Angeles
107,4.0,2.5,2178.0,514672.0,1977.0,5321.78,Orange
109,3.0,2.0,1938.0,194058.0,1963.0,2552.05,Los_Angeles
110,3.0,1.0,888.0,369568.0,1952.0,4376.03,Los_Angeles
111,2.0,1.0,864.0,385000.0,1963.0,4566.24,Orange
112,3.0,2.0,1612.0,930943.0,1956.0,10651.12,Los_Angeles
113,4.0,3.0,2328.0,912900.0,1940.0,10123.12,Los_Angeles
114,3.0,2.5,1984.0,507269.0,1955.0,5082.6,Orange
115,3.0,1.0,2005.0,96932.0,1954.0,1345.54,Los_Angeles
116,4.0,3.0,2101.0,325163.0,1985.0,4075.62,Los_Angeles
117,4.0,2.0,1222.0,310659.0,1957.0,4331.15,Los_Angeles
118,3.0,2.0,1203.0,605000.0,1951.0,6703.33,Los_Angeles
119,4.0,2.0,1615.0,175797.0,1990.0,3006.91,Los_Angeles
120,3.0,2.0,1296.0,113161.0,1977.0,1454.5,Orange
121,2.0,2.0,980.0,304575.0,1928.0,3881.02,Los_Angeles
122,2.0,1.0,907.0,222816.0,1950.0,2981.21,Los_Angeles
123,4.0,2.0,1633.0,403856.0,1965.0,5438.54,Los_Angeles
124,3.0,3.0,1482.0,751284.0,1941.0,8310.76,Los_Angeles
125,4.0,3.0,2763.0,199490.0,1975.0,2749.19,Los_Angeles
126,4.0,2.5,1766.0,265884.0,1984.0,3109.82,Ventura
127,4.0,3.0,3008.0,848828.0,1993.0,9254.3,Ventura
128,4.0,3.0,2547.0,599485.0,1966.0,7461.95,Los_Angeles
129,2.0,1.0,957.0,48324.0,1911.0,742.17,Los_Angeles
130,3.0,2.0,1510.0,623097.0,1958.0,7789.44,Los_Angeles
131,3.0,2.0,1393.0,214330.0,1983.0,3319.21,Los_Angeles
132,4.0,3.0,2615.0,943167.0,1995.0,9493.58,Orange
133,3.0,2.5,2003.0,460481.0,1983.0,4691.28,Orange
134,4.0,1.0,1781.0,220631.0,2012.0,3621.01,Los_Angeles
135,4.0,2.0,1574.0,412191.0,1954.0,5101.03,Los_Angeles
136,2.0,1.0,1668.0,751285.0,1949.0,9125.11,Los_Angeles
137,3.0,2.0,1798.0,890558.0,1948.0,12238.47,Los_Angeles
138,2.0,1.0,896.0,25837.0,1909.0,545.39,Los_Angeles
139,6.0,3.0,3136.0,512524.0,1997.0,5042.88,Orange
140,4.0,3.0,3142.0,690442.0,1980.0,7060.76,Orange
141,3.0,2.0,1290.0,440101.0,1955.0,5454.34,Los_Angeles
142,2.0,1.0,796.0,378787.0,1940.0,4875.92,Los_Angeles
143,2.0,2.0,1323.0,402224.0,1986.0,4185.16,Orange
145,5.0,5.5,4412.0,860256.0,1998.0,9106.54,Orange
146,5.0,3.0,2981.0,655440.0,1999.0,8813.23,Los_Angeles
147,3.0,1.0,1045.0,353537.0,1954.0,4614.46,Los_Angeles
148,5.0,3.0,1813.0,311205.0,1960.0,4236.88,Orange
149,4.0,2.0,1913.0,244802.0,2011.0,3888.31,Los_Angeles
150,4.0,4.0,4039.0,1143171.0,2015.0,21915.43,Los_Angeles
151,5.0,3.0,2470.0,727000.0,1972.0,8874.66,Los_Angeles
152,3.0,2.0,1221.0,374482.0,1951.0,4602.3,Los_Angeles
153,2.0,1.0,795.0,270560.0,1950.0,3629.68,Los_Angeles
154,3.0,1.0,1228.0,68302.0,1950.0,1392.26,Los_Angeles
155,3.0,2.0,1372.0,200767.0,1956.0,2513.48,Orange
156,3.0,2.0,1472.0,379265.0,1963.0,4648.27,Los_Angeles
159,2.0,2.0,1055.0,86337.0,1986.0,1879.17,Los_Angeles
160,4.0,2.0,2098.0,340200.0,1955.0,4319.72,Los_Angeles
161,3.0,2.0,1886.0,536475.0,1987.0,7528.92,Ventura
162,4.0,1.0,2546.0,603334.0,1915.0,7452.19,Los_Angeles
163,3.0,2.0,1972.0,244037.0,1992.0,3883.38,Los_Angeles
164,3.0,2.0,1353.0,129412.0,1955.0,1748.2,Orange
165,2.0,1.0,808.0,178029.0,1925.0,2401.71,Los_Angeles
166,3.0,2.0,1196.0,342168.0,1958.0,4080.19,Los_Angeles
168,2.0,1.0,797.0,308444.0,1950.0,3932.2,Orange
169,4.0,2.0,1257.0,178088.0,1955.0,2329.46,Los_Angeles
170,3.0,3.0,1721.0,893041.0,1966.0,10758.63,Los_Angeles
171,2.0,1.0,970.0,340000.0,1950.0,4183.98,Los_Angeles
172,3.0,3.0,1860.0,187545.0,1992.0,3223.7,Los_Angeles
173,2.0,2.0,1793.0,146172.0,1954.0,1832.59,Los_Angeles
174,3.0,2.0,1209.0,185000.0,1987.0,3065.01,Los_Angeles
175,2.0,1.0,942.0,32050.0,1908.0,629.55,Los_Angeles
177,4.0,5.0,3828.0,817802.0,1969.0,9877.4,Los_Angeles
178,5.0,3.0,3304.0,665343.0,1991.0,7915.88,Orange
179,4.0,3.0,2092.0,557194.0,1974.0,6584.1,Los_Angeles
180,4.0,2.0,1433.0,392542.0,1978.0,5288.94,Los_Angeles
181,4.0,3.5,4976.0,767551.0,2005.0,8952.4,Orange
182,3.0,2.0,1412.0,93146.0,1941.0,1246.18,Los_Angeles
183,4.0,2.0,1352.0,75588.0,1912.0,1098.13,Los_Angeles
184,4.0,2.5,2411.0,181858.0,1977.0,2581.78,Ventura
185,3.0,2.5,1958.0,657839.0,1963.0,7005.82,Ventura
186,4.0,2.0,1178.0,223459.0,1951.0,2864.03,Los_Angeles
187,3.0,3.0,2287.0,753587.0,1978.0,9115.66,Los_Angeles
189,4.0,2.5,2990.0,599991.0,1982.0,7187.12,Orange
190,2.0,2.0,1080.0,130028.0,1973.0,1559.5,Los_Angeles
191,4.0,2.0,1826.0,609178.0,1970.0,7045.96,Orange
193,3.0,2.0,1425.0,185679.0,1990.0,2529.6,Los_Angeles
194,3.0,3.0,1344.0,288913.0,2013.0,4962.0,Los_Angeles
195,4.0,2.5,2722.0,402014.0,1968.0,4874.0,Orange
196,2.0,1.0,1403.0,428209.0,1948.0,4734.5,Orange
197,2.0,2.0,1110.0,406000.0,1981.0,5068.84,Orange
198,2.0,1.0,815.0,267338.0,1950.0,3539.18,Los_Angeles
199,3.0,1.0,1218.0,428201.0,1954.0,5380.0,Los_Angeles
200,2.0,2.0,1140.0,153848.0,1987.0,2437.14,Los_Angeles
201,3.0,1.0,1293.0,74713.0,1930.0,844.94,Los_Angeles
202,3.0,2.5,1367.0,253159.0,1984.0,2864.06,Ventura
204,2.0,1.0,925.0,317972.0,1971.0,3761.86,Orange
205,4.0,1.0,1648.0,241443.0,1909.0,2848.32,Los_Angeles
206,2.0,1.0,810.0,239289.0,1950.0,2960.83,Los_Angeles
207,4.0,1.0,1452.0,190938.0,1956.0,2583.5,Los_Angeles
208,4.0,2.0,2152.0,377405.0,1970.0,3995.92,Ventura
209,3.0,2.5,1658.0,491216.0,1973.0,5551.46,Orange
210,2.0,1.0,1227.0,312066.0,1948.0,3652.94,Ventura
211,3.0,1.0,1300.0,400000.0,1952.0,4905.31,Los_Angeles
212,4.0,3.0,3206.0,359107.0,1970.0,4650.75,Los_Angeles
213,5.0,3.0,2992.0,500504.0,1988.0,6535.8,Los_Angeles
214,4.0,2.0,1386.0,436557.0,1968.0,5153.28,Orange
215,3.0,1.0,1598.0,50277.0,1929.0,907.06,Los_Angeles
216,3.0,3.0,1733.0,223700.0,1990.0,3610.43,Los_Angeles
217,3.0,2.0,1319.0,390328.0,1956.0,4587.13,Los_Angeles
219,4.0,3.0,2470.0,613876.0,1989.0,7576.69,Los_Angeles
220,3.0,2.0,1589.0,985000.0,1947.0,11973.88,Los_Angeles
221,3.0,2.0,1447.0,416667.0,1949.0,5284.12,Los_Angeles
222,3.0,2.0,1156.0,459000.0,1977.0,4844.66,Ventura
223,1.0,1.0,572.0,122119.0,1922.0,1562.95,Los_Angeles
224,3.0,2.5,1780.0,305488.0,1976.0,3707.08,Orange
225,5.0,3.0,2972.0,746208.0,1984.0,9258.54,Orange
226,3.0,2.0,1277.0,65551.0,1960.0,1088.22,Orange
227,3.0,3.0,3307.0,643233.0,1987.0,7238.38,Orange
228,3.0,2.0,1480.0,97162.0,1957.0,1209.41,Los_Angeles
229,3.0,2.0,1286.0,267065.0,1960.0,3239.34,Orange
230,4.0,1.0,1480.0,63732.0,1922.0,1159.42,Los_Angeles
231,4.0,3.0,2303.0,963046.0,1985.0,11286.77,Los_Angeles
232,5.0,3.0,1832.0,342818.0,1961.0,4122.16,Orange
233,3.0,1.0,1104.0,37437.0,1951.0,822.23,Los_Angeles
235,4.0,2.0,1885.0,201596.0,1994.0,3310.73,Los_Angeles
236,2.0,1.0,1068.0,213245.0,1920.0,2750.45,Los_Angeles
237,3.0,3.0,4327.0,134360.0,1951.0,2288.76,Los_Angeles
238,5.0,4.0,2776.0,477465.0,2006.0,8406.47,Los_Angeles
239,4.0,2.0,1713.0,243265.0,1948.0,3093.67,Los_Angeles
241,2.0,1.0,900.0,47374.0,1940.0,939.31,Los_Angeles
242,4.0,4.0,3229.0,620000.0,1980.0,7576.41,Los_Angeles
243,3.0,2.0,1788.0,228431.0,1983.0,4897.96,Los_Angeles
244,3.0,3.0,2639.0,90867.0,1949.0,885.46,Orange
245,3.0,1.0,1369.0,406100.0,1953.0,5060.87,Los_Angeles
246,3.0,2.0,1540.0,71577.0,1962.0,1013.1,Orange
247,3.0,1.0,902.0,124262.0,1952.0,2251.03,Los_Angeles
248,3.0,3.0,1701.0,126435.0,1951.0,1839.16,Los_Angeles
249,4.0,3.0,2243.0,409619.0,1983.0,4982.59,Los_Angeles
250,3.0,1.0,1301.0,319803.0,1946.0,6349.16,Los_Angeles
251,3.0,2.0,1428.0,418171.0,1961.0,6371.41,Los_Angeles
252,3.0,2.0,1754.0,88381.0,1963.0,1370.78,Los_Angeles
253,3.0,2.0,1258.0,914739.0,1923.0,9965.36,Los_Angeles
254,3.0,1.0,1088.0,37848.0,1925.0,977.36,Los_Angeles
256,3.0,1.0,1174.0,64356.0,1952.0,1015.13,Los_Angeles
257,3.0,2.0,1608.0,64833.0,1955.0,1720.5,Orange
258,2.0,2.0,1602.0,406100.0,1949.0,5218.27,Los_Angeles
260,4.0,3.0,3124.0,502000.0,2005.0,6854.47,Los_Angeles
261,3.0,2.0,1731.0,607981.0,1921.0,7181.7,Los_Angeles
262,4.0,2.0,1665.0,76372.0,1969.0,1037.21,Los_Angeles
263,3.0,2.0,2160.0,213955.0,1938.0,3003.23,Los_Angeles
264,4.0,2.0,1608.0,436156.0,1964.0,4647.46,Ventura
265,3.0,3.0,2015.0,86725.0,1962.0,1610.64,Los_Angeles
266,5.0,3.0,2936.0,640115.0,1966.0,6888.9,Orange
267,3.0,2.5,1540.0,494545.0,1973.0,5382.9,Orange
268,5.0,1.0,2413.0,500000.0,1953.0,5852.12,Orange
269,3.0,2.0,1222.0,340203.0,1968.0,4570.42,Los_Angeles
270,3.0,2.0,1574.0,163417.0,1990.0,3013.96,Los_Angeles
271,5.0,3.0,2131.0,272697.0,1983.0,3784.14,Los_Angeles
272,4.0,2.0,1878.0,420242.0,1929.0,5201.0,Los_Angeles
273,3.0,2.0,1866.0,539333.0,1953.0,6760.9,Los_Angeles
274,3.0,2.0,1867.0,198419.0,1938.0,2209.44,Los_Angeles
275,2.0,1.0,1312.0,74190.0,1960.0,1018.72,Los_Angeles
277,4.0,2.5,2076.0,276576.0,1962.0,3351.18,Ventura
278,3.0,3.0,2538.0,878288.0,1966.0,9635.37,Los_Angeles
279,4.0,2.5,2761.0,556255.0,1998.0,8381.04,Orange
280,3.0,2.5,1371.0,404542.0,2012.0,4705.74,Ventura
281,3.0,2.0,1676.0,283892.0,1940.0,3151.85,Los_Angeles
282,4.0,3.0,2352.0,293034.0,1989.0,3839.25,Los_Angeles
283,2.0,1.0,1103.0,185917.0,1936.0,2317.18,Los_Angeles
284,4.0,3.0,2708.0,516871.0,1964.0,6091.05,Los_Angeles
285,3.0,4.0,2447.0,917223.0,1942.0,11337.29,Los_Angeles
287,3.0,1.0,952.0,43026.0,1953.0,628.32,Los_Angeles
288,4.0,2.0,1209.0,90868.0,1954.0,1287.21,Los_Angeles
289,3.0,2.0,1822.0,390202.0,1995.0,4557.12,Ventura
290,3.0,3.0,2276.0,433432.0,2012.0,5413.1,Los_Angeles
291,4.0,2.0,1323.0,453000.0,1964.0,5235.32,Ventura
292,4.0,2.0,1339.0,298371.0,1977.0,3714.58,Los_Angeles
293,2.0,2.0,1231.0,161897.0,1950.0,2031.39,Los_Angeles
294,5.0,3.0,3008.0,472384.0,1995.0,7234.74,Orange
295,2.0,1.0,996.0,58693.0,1940.0,751.66,Los_Angeles
296,4.0,2.0,1329.0,62194.0,1944.0,886.96,Los_Angeles
297,3.0,2.5,1666.0,362552.0,1997.0,4252.28,Ventura
298,3.0,1.0,1568.0,57311.0,1919.0,855.82,Los_Angeles
299,2.0,1.0,836.0,62411.0,1939.0,697.79,Los_Angeles
301,4.0,3.0,2541.0,880456.0,2003.0,9819.72,Orange
302,4.0,3.0,2541.0,880456.0,2003.0,9819.72,Orange
304,3.0,2.0,1300.0,105152.0,1945.0,1400.67,Los_Angeles
305,3.0,2.0,1615.0,417432.0,1941.0,5132.56,Los_Angeles
306,5.0,5.0,3682.0,580891.0,1978.0,7096.43,Los_Angeles
307,2.0,1.0,874.0,447063.0,1940.0,4895.64,Los_Angeles
308,2.0,1.0,1166.0,318269.0,1941.0,3934.53,Los_Angeles
309,3.0,3.0,3458.0,1128173.0,1955.0,13828.69,Los_Angeles
310,3.0,3.0,2273.0,913724.0,1937.0,10048.09,Los_Angeles
311,3.0,2.0,1515.0,742000.0,1951.0,8141.01,Los_Angeles
313,5.0,5.0,4086.0,943847.0,1988.0,11693.56,Los_Angeles
314,4.0,2.0,2097.0,110131.0,1924.0,1501.01,Los_Angeles
316,1.0,1.0,600.0,449245.0,1955.0,5447.59,Los_Angeles
317,4.0,2.5,2035.0,261784.0,1970.0,3210.74,Ventura
318,3.0,2.5,1677.0,229948.0,1984.0,2388.04,Orange
319,3.0,2.0,1578.0,1081322.0,1948.0,13029.25,Los_Angeles
320,4.0,3.0,2176.0,175867.0,1953.0,2282.76,Los_Angeles
321,3.0,3.0,2158.0,464000.0,1991.0,7100.7,Los_Angeles
322,3.0,2.0,1792.0,452614.0,1977.0,4528.02,Orange
323,4.0,2.5,1721.0,266714.0,1997.0,2864.14,Ventura
325,3.0,2.0,1032.0,314801.0,1925.0,4390.74,Los_Angeles
327,3.0,2.0,1879.0,654000.0,1951.0,7888.36,Orange
328,3.0,2.0,1316.0,219386.0,1961.0,2809.57,Los_Angeles
329,3.0,2.0,1359.0,319978.0,1960.0,6025.23,Los_Angeles
330,2.0,2.0,1236.0,588000.0,1952.0,7118.37,Los_Angeles
331,2.0,1.0,931.0,243349.0,1954.0,3138.7,Los_Angeles
332,3.0,1.5,1000.0,315758.0,1955.0,3900.46,Orange
333,4.0,4.0,4494.0,963436.0,1941.0,11945.88,Los_Angeles
335,3.0,1.0,1504.0,293621.0,1926.0,3679.33,Los_Angeles
336,4.0,2.0,2513.0,400000.0,2005.0,5992.07,Los_Angeles
337,4.0,2.0,1476.0,223714.0,2003.0,2856.37,Los_Angeles
338,2.0,1.0,1212.0,270457.0,1949.0,3484.69,Los_Angeles
339,6.0,3.0,3230.0,395573.0,1992.0,5476.58,Los_Angeles
340,2.0,1.0,760.0,221860.0,1926.0,2871.36,Los_Angeles
341,5.0,4.5,4099.0,887450.0,1985.0,9741.8,Ventura
342,4.0,2.0,1348.0,495442.0,1955.0,6174.04,Orange
343,4.0,2.5,1936.0,435823.0,1986.0,5768.74,Ventura
344,2.0,1.0,1022.0,401000.0,1951.0,5056.55,Los_Angeles
345,5.0,4.0,3458.0,954934.0,1978.0,11815.91,Los_Angeles
346,4.0,2.5,1863.0,449692.0,2015.0,10673.1,Ventura
347,2.0,1.0,964.0,53793.0,1941.0,1068.0,Los_Angeles
348,3.0,1.0,914.0,58877.0,1953.0,1470.38,Los_Angeles
349,4.0,2.0,1393.0,85279.0,1954.0,1719.15,Los_Angeles
350,3.0,2.0,1316.0,271716.0,1957.0,3430.64,Orange
351,3.0,2.0,1498.0,300722.0,1952.0,3907.53,Los_Angeles
352,3.0,2.0,1501.0,223761.0,1988.0,3682.34,Los_Angeles
353,3.0,2.0,1391.0,58131.0,1958.0,900.22,Orange
354,2.0,1.0,846.0,97495.0,1928.0,1053.16,Ventura
355,3.0,1.0,1026.0,287013.0,1950.0,3649.01,Los_Angeles
356,3.0,2.0,1216.0,103582.0,1956.0,2138.31,Los_Angeles
357,2.0,1.0,1090.0,54618.0,1926.0,926.39,Los_Angeles
358,2.0,1.0,906.0,310693.0,1942.0,4041.29,Los_Angeles
359,3.0,1.5,1050.0,50559.0,1963.0,824.22,Orange
360,3.0,2.0,1409.0,295907.0,1962.0,3519.46,Orange
361,2.0,1.0,1492.0,60419.0,1940.0,839.2,Los_Angeles
362,4.0,3.0,2150.0,161318.0,1976.0,1580.3,Orange
363,5.0,3.0,2411.0,562121.0,1964.0,7087.4,Orange
364,3.0,2.0,1331.0,507625.0,1957.0,6131.56,Orange
365,3.0,3.0,1793.0,195738.0,1987.0,3232.0,Los_Angeles
366,4.0,3.0,3055.0,130000.0,1967.0,1649.62,Orange
367,4.0,2.0,1828.0,559526.0,1968.0,5891.44,Ventura
368,2.0,1.0,1315.0,401880.0,1952.0,4986.88,Los_Angeles
369,3.0,2.0,1682.0,416252.0,1918.0,5149.49,Los_Angeles
370,4.0,2.0,1386.0,58921.0,1957.0,670.84,Ventura
371,4.0,2.0,2113.0,396040.0,1962.0,4174.02,Ventura
372,3.0,2.0,1194.0,61666.0,1954.0,806.91,Los_Angeles
373,4.0,3.0,2108.0,254301.0,2010.0,5038.68,Los_Angeles
374,3.0,1.0,825.0,46477.0,1953.0,625.38,Los_Angeles
375,5.0,3.0,2947.0,650452.0,2008.0,8095.42,Los_Angeles
376,2.0,2.0,1466.0,92531.0,1949.0,1318.38,Los_Angeles
377,3.0,2.5,1518.0,338071.0,2003.0,3915.94,Ventura
378,3.0,2.0,1556.0,417597.0,1952.0,4870.0,Orange
379,4.0,1.0,1247.0,340168.0,1947.0,5273.97,Los_Angeles
380,4.0,3.0,3368.0,742073.0,1995.0,9119.68,Los_Angeles
381,2.0,1.0,871.0,138138.0,1947.0,1850.96,Los_Angeles
382,2.0,1.0,828.0,208166.0,1942.0,3050.31,Los_Angeles
383,4.0,2.0,1798.0,529000.0,1979.0,5710.3,Ventura
385,4.0,2.0,1898.0,550000.0,1991.0,6716.08,Los_Angeles
386,4.0,3.0,2504.0,262584.0,1979.0,3175.91,Los_Angeles
387,4.0,3.0,2077.0,950681.0,1979.0,12317.74,Los_Angeles
388,4.0,2.0,1722.0,207351.0,1909.0,2578.2,Los_Angeles
389,3.0,2.0,1242.0,125553.0,1962.0,3870.35,Los_Angeles
390,5.0,2.0,2359.0,708879.0,1966.0,8057.45,Los_Angeles
392,4.0,3.0,3080.0,929826.0,1963.0,9790.42,Ventura
393,3.0,2.0,1080.0,223300.0,1954.0,2867.7,Los_Angeles
394,3.0,2.0,1117.0,282137.0,1956.0,3563.58,Los_Angeles
395,4.0,2.0,1075.0,222816.0,1954.0,2942.9,Los_Angeles
396,3.0,2.0,1291.0,54629.0,1955.0,950.42,Los_Angeles
397,4.0,2.0,1362.0,120500.0,1956.0,1647.43,Los_Angeles
398,4.0,3.0,3057.0,124629.0,1924.0,1721.62,Los_Angeles
399,3.0,2.0,1647.0,352920.0,1924.0,4444.48,Los_Angeles
400,3.0,1.0,736.0,388348.0,1944.0,4932.2,Los_Angeles
401,4.0,3.0,2455.0,200214.0,2005.0,5087.18,Los_Angeles
402,4.0,2.0,1166.0,381640.0,1954.0,4616.82,Orange
403,3.0,1.0,1144.0,351000.0,1954.0,3942.54,Ventura
404,2.0,2.0,1308.0,217361.0,1951.0,2764.52,Los_Angeles
405,3.0,2.0,1232.0,139682.0,1993.0,2470.83,Los_Angeles
406,4.0,2.0,1560.0,275873.0,1944.0,3875.59,Los_Angeles
407,3.0,2.0,1356.0,164757.0,1991.0,2769.13,Los_Angeles
408,2.0,2.0,1045.0,260097.0,1924.0,3252.61,Los_Angeles
409,3.0,2.0,1170.0,327118.0,1956.0,4116.91,Los_Angeles
410,2.0,2.0,792.0,241278.0,1924.0,2938.99,Los_Angeles
